InPlay,Velo,SpinRate,HorzBreak,InducedVertBreak
1,90.84,2303,14.31,12.54
0,91.89,2118,12.68,3.43
0,93.73,2330,13.67,14.14
0,93.96,2143,4.02,17.77
0,97.87,2797,7.35,18.92
0,92.88,2140,16.12,11.2
0,89.37,2232,8.54,12.36
0,93.01,2179,11.85,14.02
0,88.24,2036,17.18,12.34
0,96.8,2361,3.33,17.72
0,92.2,2385,4.37,18.98
1,92.02,2290,10.02,16.25
0,93.32,2089,5.88,17.26
0,96.67,2263,16.44,12.29
0,94.45,2168,10.29,14.14
1,98.06,2475,2.88,17.23
0,98.64,2390,11.52,12.8
0,96.71,2225,15.07,16.87
0,92.97,2109,14.3,6.92
0,97.33,2346,15.76,8.45
0,95.45,1967,7.13,18.03
0,93.87,2054,8.55,15.31
0,95.52,2213,10.21,14.96
0,91.82,2169,11.79,17.11
0,93.77,2370,4.94,21.02
0,95.66,2220,4.43,12.33
0,92.75,2153,13.01,8.96
0,96.36,1847,10.71,15.87
0,92.62,2189,2.77,16.11
0,97.78,2587,5.74,20.25
1,95.66,2114,9.22,15.56
0,97.62,2356,8.49,19.65
0,70.79,1504,8.99,15.17
0,91.55,1972,12.14,5.66
0,92.84,2271,19.71,8.43
0,97.17,2234,11.93,14.9
0,92.69,2614,5.57,19.95
0,90.86,2129,1.75,17.48
0,98.89,2431,10.48,17.75
0,94.05,2176,8.36,16.58
1,94.54,2144,13.4,11.8
0,92.62,2437,4.02,18.86
0,95.72,2584,11.7,16.85
0,94.58,2277,10.43,13.14
0,94.16,2336,1.9,17.19
1,91.29,1986,13.85,8.78
0,96.11,2180,10.84,14.74
1,88.59,2151,2.7,15.24
1,94.16,2265,9.52,14.38
1,91.58,1889,13.7,12.65
0,93.35,1991,6.55,15.12
0,99.06,2504,6.22,20.09
0,92.58,2106,3.47,16.35
0,93.64,2154,14.91,9.98
0,93.45,2139,13.43,13.56
0,95.57,2601,0.91,9.88
0,95.47,2133,11.27,17.21
1,96.6,2214,12.13,5.78
1,93.87,2460,8.29,15.88
0,94.67,2516,7.79,12.44
1,92.74,2282,9.71,18.62
1,96.45,2477,20.13,9.71
1,88.42,1864,12.74,8.02
0,93.02,2161,6.62,15.32
1,98.2,2895,12.71,13.58
0,91.73,1762,15.52,8.07
1,98.62,2441,11.65,11.43
0,95.39,2391,13.38,17.23
0,93.91,2269,5.4,17.36
0,96.35,2253,7.91,14.81
0,92.39,2068,16.03,9.23
0,98.64,2249,14.63,11.27
1,92.32,2275,10.37,16.91
0,95.98,2284,11.49,14.6
1,90.76,1762,4.47,16.97
0,98.58,2505,12.3,19.53
1,93.27,2187,9.25,17.05
0,93.45,1974,4.71,11.23
1,94.25,2256,8.9,18.84
0,93.85,2437,4.35,15.88
0,94.87,2242,7.98,17.87
0,96.68,2291,4.67,17.29
0,67.61,1641,15.35,7.25
1,93.97,2278,9.1,20.33
0,99.15,2241,6.29,17.94
0,92.61,2371,8.23,22.68
0,94.96,2181,5.34,12.53
0,96.22,2305,8.21,17.69
0,97.66,2051,14.06,12.57
1,94.15,2155,15.01,12.51
0,96.39,2211,14.57,10.99
0,92.61,2313,9.53,6.04
0,97.21,2339,5.86,12.61
1,93.85,2362,11.66,14.64
0,92.54,2314,-0.5,15.44
0,95.87,2583,5.85,23.05
0,92.5,2208,5.68,19.68
0,95.99,2283,14.07,12.33
0,95.99,2549,5.81,16.72
0,94.03,2469,7.28,18.47
0,92.9,2088,8.79,14.93
0,95.74,2471,5.06,14.55
0,92,2496,3,19.04
0,95.5,2431,11.44,18.01
0,87.12,1661,12.34,8.27
0,94.6,2289,6.96,17.33
0,95.96,2616,8.3,19.27
1,95.53,2105,5.36,17.48
1,91.54,2105,5.58,13.83
0,94.27,2020,9.25,15.88
0,98,2505,6.38,13.34
1,96.9,2529,10.31,13.02
0,91.17,2298,6.89,18.97
0,96.01,2378,4.93,11.17
0,96.6,2189,15.87,10.77
0,93.21,2356,7.43,15.45
0,95.22,2133,2.37,14.83
1,91.2,2117,2.02,19.23
0,96.71,2430,5.15,17.06
1,92.2,2417,10.47,12.56
0,96.4,2231,7.61,15.81
0,94.82,2050,3.4,14.38
1,94.47,2146,9.47,15.62
1,92,2205,12.52,16.7
0,96.14,2462,14,16.36
1,66.9,1629,13.55,14.67
0,96.99,2343,8.16,18.53
0,95.16,2287,0.95,16.46
0,93.99,2132,12.1,11.69
1,94.05,2055,12.22,11.21
1,93.1,2210,10.94,9.41
1,91.64,2015,11.9,5.3
0,92.06,1802,12,-6.59
1,96.39,1926,14.4,7.96
1,93.09,2337,11.9,17.49
0,94.61,2320,4,20.63
0,92.6,2461,11.36,13.58
0,93.63,1868,16.29,2.18
0,92.22,1927,13.72,13.04
0,85.48,2167,22.28,2.02
0,94.18,2019,19.39,7.67
0,95.06,2217,13.57,13.41
1,91.22,2371,2.57,16.75
0,92.22,2209,7.23,16.01
1,96.7,2383,17.38,8.73
1,95.05,2466,2.72,18.9
0,94.56,2173,4.02,19.47
0,95.99,2659,0.62,15.57
0,94.08,2230,16.17,6.23
1,92.5,2189,18.25,7.51
0,97.36,2294,11.19,16.8
1,93.16,2491,15.93,7.82
1,88.93,1791,13.04,7.06
1,94.86,2570,7.17,14.49
0,95.47,2262,9.75,16.45
1,95.27,2243,17.16,10.96
0,95.07,2460,7.51,19.47
0,94.45,2173,8.51,16.26
0,95.96,2316,9.84,17.76
0,96.87,2486,6.76,16.23
0,94.38,2115,4.38,19.74
1,91.94,2197,11.21,15.38
0,88.07,2209,8.6,12.25
0,93.52,1974,8.13,16.17
0,97.06,2409,7.86,16.67
0,93.32,2399,4.52,19.3
1,92.15,2296,13.36,11.83
1,87.19,1776,14.96,12.47
0,92.26,2342,7.52,13.75
0,93.15,2287,3.9,18.12
0,91.3,2472,11.78,15.49
1,93.3,2024,17.48,11.31
0,96.23,2268,3.29,17.32
0,93.9,1981,16.43,8.58
0,92.82,2031,7.16,17.73
0,94.77,2164,16.46,0.39
0,91.64,1991,18.12,7.58
0,94.64,2286,15.17,12.15
0,90.27,2100,7.28,13.91
0,92.73,2274,9.82,15.28
1,94.05,2335,10.36,12.48
0,92.71,2219,4.83,15.82
0,98.6,2313,17.1,13.24
0,93.63,2462,8.21,15.08
0,95.19,2183,19.84,11.91
0,90.6,2233,-2.45,15.59
1,95.73,2350,8.24,19.54
0,94.59,2107,15.35,10.21
0,94.12,2468,1.45,10.97
0,95.72,2122,8.27,17.4
0,97.21,2111,13.39,12.78
1,94.95,2204,12.47,13.25
0,93.95,2273,11.59,17.86
0,94.1,2146,2.5,17.73
0,92.12,2298,2.18,14.77
0,95.8,2464,5.12,16.87
0,89.95,2232,4.71,19.91
0,93.63,2294,12.36,14.89
0,98.49,2436,4.21,19.62
0,93.5,2005,13.32,6.7
1,90.01,1906,13.79,12.02
0,95.03,1969,8.51,17.2
0,94.18,2304,5.19,16.36
0,92.98,2074,2.2,15.9
1,93.78,2298,10.08,17.81
1,96.32,2466,11.47,17.71
1,95.83,2138,9.47,14.41
0,90.07,2158,13.62,5.62
1,94.87,2572,4.72,15.86
0,96.59,2251,12.1,8.97
0,94.89,2334,10.5,15.52
0,94.19,2453,6.78,18.42
0,95.52,2478,11.14,15.39
0,96.05,2249,12.83,17.02
0,91.9,2276,11.75,11.94
1,97.51,2414,9.08,15.76
0,91.32,2267,7.42,14.3
1,93.82,2380,16.75,15
0,94.09,2093,9.23,17.2
0,95.71,2102,19.02,13.49
0,96.97,2176,14.76,6.07
0,95.22,2591,4.25,20.38
0,92.62,2094,16.67,15.23
0,98.1,2272,7.5,17.31
1,96.99,2244,6.49,15.79
0,97.51,2443,7.19,16.38
0,93.72,1997,15.2,14.1
0,93.8,2418,12.63,20.65
1,87.16,1761,11.32,9.29
0,94.26,2159,8.09,19.2
0,93.05,2135,6.42,17
0,92.57,2086,12.99,13.99
0,90.82,2180,7.63,15.24
0,95.91,2058,11.72,14.69
0,95.25,2376,3.85,22.02
0,92.31,2266,1.74,17.06
1,93.53,2181,8.9,18.91
0,96.8,2570,13.66,18.27
1,93.72,2400,9.36,17.98
0,92.5,2322,3.95,20.73
1,95.63,2149,4.71,18.49
0,96.29,2094,8.92,18.1
0,94.16,2218,6.08,17.88
0,97.79,2238,10.89,15.18
0,90.15,1830,17.03,6.82
1,93.31,2026,14.6,8.55
0,96.93,2237,10.92,10.36
0,96.96,2385,5.67,15.64
1,93.85,2198,8.41,17.22
0,94.31,2059,5.76,19.85
0,90.99,1970,2.78,16.54
1,93.31,2110,14.87,13.88
1,93.23,1829,6.28,13.55
1,94.03,2425,8.15,20.97
0,95.01,2424,1.69,18.07
0,91.92,1850,11.82,4.68
0,89.36,2243,14.33,17.98
0,94.91,2275,10.33,15.55
0,95.97,2382,8.48,17.63
0,94.9,2268,13.06,12.45
0,94.72,2232,6.48,17.51
0,94.89,2673,2.25,12.97
0,92,2185,6.53,16.63
0,95.93,2316,10.83,20.14
0,95.8,2137,7.85,16.15
0,95.37,2050,3.28,9.68
0,88.19,1781,15.35,7.91
0,96.8,2546,11.03,18.25
0,91.38,2345,18.62,7.91
0,89.31,2236,17.9,7.61
0,90.92,2160,11.52,16.73
0,93.26,2438,6.33,18.79
0,93.66,1962,18.04,5.07
0,97.27,2588,14.73,16.02
0,94.35,2422,3.13,22.16
0,91.24,2178,18.61,7.71
0,93.34,2441,6.92,18.88
0,93.44,2030,13.92,14.27
0,89.29,2201,8.81,19.96
1,95.51,2459,11.96,16.21
0,94.57,2071,13.77,7.35
0,92.32,2324,10.49,8.25
1,87.87,2986,16.9,14.2
1,94.69,2425,9.8,4.88
1,93.81,2253,9.54,14.85
0,95.01,2489,5.47,19.33
0,94.21,1949,11.44,13.13
0,91.3,2051,10.46,8.31
0,93.98,2140,9.07,17.31
1,94.66,2379,14.88,15.21
0,95.5,2160,9.29,14.51
0,94.83,2126,8.67,15.03
0,94.89,2050,14.35,11.8
0,96.17,2353,6.54,19.34
1,92.4,2255,6.09,15.59
0,92.11,1957,13.37,12.06
0,91.96,2189,5.79,22.01
1,94.91,2332,7.28,19.08
0,89.2,2098,15.1,9.34
0,92.36,2322,9.18,16.64
0,92.26,2281,7.61,16.21
0,91.12,2348,12.72,12.59
0,96.27,2114,16.34,5.15
0,96.8,2244,9.53,12.86
0,91.7,2264,14.14,14.87
1,97.8,2031,17.74,3.03
0,89.97,2465,0.4,10.84
1,95.03,2212,16.56,9.46
1,96.04,2490,-1.36,11.01
1,91.88,2118,13.46,16.41
1,93.72,2373,13.07,13.81
0,93.81,2042,9.44,13.48
0,95.39,2340,11.44,15.2
0,94.03,2257,5.77,18.34
0,92.41,2379,8.04,17.45
0,94.15,2367,0.54,17.54
0,94.24,2055,10.74,10.13
0,95.52,2503,7.82,18.84
1,95.85,2260,13.94,7.87
0,94.03,2014,12.76,12.65
1,93.68,2323,11.82,18.53
0,99.36,2750,12.11,20.62
0,94.39,2155,15.5,7.32
0,96.78,2232,15.04,11.71
0,94.87,2568,9.74,13.45
1,96.37,2331,10.62,15.85
0,93.57,2304,9.56,20.91
1,94.15,2480,-2.11,7.8
1,93.24,1959,15.19,9.89
1,93.42,2229,4.7,20.32
1,92.54,2334,9.56,21.78
1,97.52,2715,11.64,10.02
1,93.9,2451,-2.36,7.29
0,91.75,1892,17.44,5.69
0,91.35,2171,16.07,12.51
0,95.81,2282,9.91,20.01
0,95.68,2085,11.95,17.31
0,94.89,2303,1.14,16.39
0,93.78,2512,9.94,18.4
0,92.84,2162,15.9,12.67
0,94.64,2137,14.17,12.9
0,94.03,2188,16.49,16.23
0,93.26,1935,6.59,15.71
1,90.46,2037,10.49,15.24
0,95.06,2313,5.35,15.73
0,96.15,2026,8.91,16.1
0,97.71,2238,9.51,12.59
0,94.7,2244,5.15,15.8
0,96.81,2258,9.76,17.48
0,94.45,2316,14.64,17.56
0,95.56,1984,10.62,10.95
0,94.46,2091,7.67,14.17
1,94.42,2309,9.76,16.51
1,86.48,1797,14.2,7.91
0,97.47,2274,19.73,7.62
0,96.95,2250,2.56,19.7
0,90.47,2144,4.63,19.79
0,93.81,2387,-3.33,6.92
0,97.27,2557,5.34,16.69
1,94.26,2283,13.13,11.11
0,96.96,2044,15.76,10.81
0,94.03,2291,8.06,15.82
0,92.03,1949,19.64,8.85
1,91.74,2570,4.2,21.83
0,95.46,1990,6.71,18.81
1,99.03,2282,15.84,11.56
0,94.81,2035,16.32,5.08
1,91.96,2043,6.61,17.23
0,95.05,2111,10.73,13.85
1,94.56,2374,8.23,16.63
0,96.16,2286,10.63,14.95
0,95.9,2220,4.46,13.71
0,94.05,2445,5.03,18.07
0,93.77,2386,0.62,18.85
1,92.75,2293,8.07,17.86
0,94,2422,-2.69,16.71
0,94.85,2167,2.34,17.33
0,94.18,2034,12.38,15.69
1,94.22,2433,5.62,17.37
0,95,2098,7.3,15.92
0,97.69,2536,7.22,16.55
0,90.59,2215,8.37,11.64
0,96.72,2601,12.37,18.93
0,97.21,2034,17.55,10.14
0,95.32,2275,5.74,15.89
1,93.53,2280,11.51,15.72
1,90.22,2404,17.47,11.45
1,93.74,2562,4.97,18.2
0,94.02,2591,5.44,19.18
1,92.51,2237,15.51,13.79
0,91.81,2270,7.71,19.87
0,93.21,2293,3.06,12.6
0,96.67,2055,15.37,5.24
1,93.99,2275,16.4,14.12
0,95.74,2249,1.85,13.19
0,93.25,2374,15.27,12.21
0,93.45,2259,12.76,15.05
0,94.76,2493,12.27,9.68
0,93.61,2237,7.35,17.3
1,94.69,2464,10.35,18.56
1,93.85,2305,1.84,11.53
0,95.5,2202,13.21,14.43
0,92.64,2106,17.75,6.25
0,95.81,2577,8.19,16.39
0,98.2,2201,16.37,4.02
0,92.3,2116,5.07,18.81
0,92.98,1491,7.4,16.36
0,95.25,2393,6.55,18.48
1,97.2,2545,10.58,8.96
0,94.54,2408,8.62,18.11
0,94.73,2197,12.02,13.89
0,91.61,2182,14.69,14.48
0,95.16,2260,7.83,16.66
1,89.99,2174,2.49,14.73
0,93.93,1785,12.21,10.43
0,91.41,2028,14.63,5.19
1,96.7,2418,1.8,21.11
0,95.89,2675,12.57,14.12
0,95.64,2253,8.16,15.81
0,89.94,2273,8.23,21.29
0,91.64,2458,0.29,15.99
0,95.06,2311,10.88,12.27
0,91.26,2627,16.01,14.39
0,91.04,1863,10.49,12.14
1,95.61,2095,12.57,13.32
0,93.85,2447,9.17,17.22
0,92.67,2261,2.7,18.1
0,94.02,2640,6.95,18.58
0,91.98,2555,4.54,15.56
0,94.2,2131,7.87,19.28
1,97.59,2364,9.18,18.37
0,94.85,2280,19.21,7.51
0,98.45,2160,8.48,16.9
0,91.67,2173,8.87,8.56
1,92.82,1774,8.58,12.29
0,94.34,2339,11.54,15.12
1,95.89,2164,14.51,12.48
0,92.81,2152,15.32,6.22
0,92.55,2047,9.26,18.17
0,91.87,2141,11.27,13.8
0,97.88,2467,4.07,17.69
1,97.13,2596,4.61,18.05
0,92.39,2098,14.43,16.12
0,98.99,2366,10.58,16.12
0,94.11,2055,6.62,15.01
0,91.97,2282,9.41,18.79
0,97.27,2180,8.98,16.68
0,93.05,2121,13.87,7.12
0,86.92,1870,9.51,12.4
0,90.8,1982,12.65,11.26
1,93.62,2159,7.44,17.57
0,92.24,2386,10.98,17.46
0,98.1,2402,4.44,17.1
0,90.85,1872,4.32,13.44
0,93.88,2346,15.21,14.55
0,93.68,2522,2.14,9.88
0,91.48,2111,5.5,15.71
1,91.6,2230,12.43,14.19
0,93.55,2002,14.99,10.14
0,97.51,2396,-2.14,19.83
0,89.13,2263,8.72,17.41
1,91.2,2065,1.24,15.6
0,94.14,2434,11.26,16.91
0,95.42,2140,9.91,12.51
0,95.56,2419,8.79,17.21
0,90.58,2202,9.8,18.39
0,95.19,2676,7.58,20.21
0,94.35,2427,7.39,15.05
0,97.21,2351,8.53,16.34
0,93.96,2230,12.4,15.13
0,94.99,2126,15.41,1.56
0,94.25,2291,5.67,13.19
1,93.09,2358,7.47,15.06
0,97.76,2215,4.11,13.79
1,92.36,2393,3.86,12.95
1,93.89,2430,3.44,18
1,96.11,2109,13.97,12.39
0,95.92,2497,6.52,17.12
0,92.22,2068,14.68,9.34
0,93.74,2253,19.7,8.14
0,91.91,2210,0.76,16.38
0,96.69,2245,17.36,10.49
0,96.47,1988,8.18,14.19
0,95.68,2064,1.2,17.01
0,98.54,2317,3.45,18.92
0,93.12,2093,7.38,15.98
0,95.91,1970,11.6,12.03
0,93.06,2044,3.09,7.29
1,93.77,2233,6.9,16.28
0,96.39,2401,8.21,18.92
1,94.16,2373,12.13,17.52
0,91.22,2202,1.64,17.62
0,94.13,2187,8.69,17.02
0,92.78,2383,5.83,17.77
0,96.73,2257,3.53,17.65
0,90.71,2256,12.73,14.61
0,94.44,2492,6.43,20.6
1,97.22,2125,18.61,3.65
1,91.71,2149,6.97,14.81
0,98.4,2722,9.05,21.25
0,94.59,2387,0.52,17.81
1,97.57,2005,16.85,5.67
0,97.96,2117,8.7,17.9
1,95.99,2386,7.31,20.1
1,92.16,2112,6.12,15.96
0,92.73,2050,9.82,16.12
0,93.5,2371,15.4,8.95
0,88.54,2019,14.87,7.12
0,95.72,2148,17.98,6.69
0,97.18,2281,16.44,11.53
0,91.87,2238,10.73,15.16
0,92.08,2330,17.66,5.36
0,94.45,2281,11.03,18.8
0,94.69,2443,6.92,18.12
0,96.16,2155,7.89,16.05
0,92.77,2071,3.77,17.77
1,88.72,1799,18.43,10.88
0,93.36,2247,6.08,19.13
0,94.47,2402,10.53,17.64
1,92.44,2548,2.94,10.3
0,96.39,2356,9.46,14.33
0,92.94,2304,2,17.76
0,98.03,1980,14.57,6.55
0,96.62,2006,14.42,8.82
0,97.86,2313,12.07,15.84
0,92.62,1841,13.89,6.86
0,93.44,2158,5.02,9.1
1,90.94,2337,-0.58,15.92
1,97.28,2122,21.97,4.41
0,94.45,2154,0.74,20.04
1,96.7,2225,8.42,12.89
0,96.51,2262,18.66,9.66
0,88.97,2177,0.23,17.07
0,94.15,2240,9.1,20.34
0,94.34,2522,11.56,16.73
0,87.8,2043,15.15,12.32
0,95.33,2062,15.84,7.27
0,96.19,2181,9.84,11.85
0,95.81,2004,16.69,8.24
1,94.22,2146,9.05,19.21
0,90.72,2275,14.95,14.07
0,90.77,2260,12.26,13.51
0,96.2,2608,5.21,20.94
0,91.09,2196,10.19,1.49
0,95.83,2380,-1.58,18.74
1,86.71,1929,15.45,12.32
0,97.28,2260,10.06,18.93
0,91.39,2316,12.28,8.84
0,91.91,2281,4.71,18.03
1,98.4,2264,15.42,12.26
0,90.16,2371,4.42,15.83
0,94.2,2233,11.2,13.14
1,94.28,NULL,13.53,14.86
0,89.91,2052,15.29,10.17
0,93.65,2280,10.23,16.01
0,94.33,2314,8.47,15.82
1,91.56,1833,16.89,7.13
0,90.73,2197,6.24,16.43
0,92.46,2193,15.38,14.02
0,93.03,2272,6.39,20.34
0,94.27,1954,14.54,6.73
1,93.88,2256,4.58,13.81
0,97.24,2142,2.39,14.82
0,94.78,2461,2.55,13.69
0,90.95,2114,20.04,12.78
0,98.38,2414,3.52,17.86
0,87.73,1748,14.57,9.74
1,92.22,2012,12.73,8.99
0,93.1,1898,6.73,12.32
1,95.75,2541,1.93,18.35
0,95.99,2301,14.49,12.97
0,94.81,2085,10,15.86
0,91.36,2634,1.53,15.97
0,92.09,2429,3.15,18.91
0,93.12,2105,11.31,5.74
0,89.95,1971,12.35,14.45
0,93,2255,15.82,10.48
0,87.39,2135,12.31,14.14
0,92.18,2148,13.6,13.01
0,91.05,2074,5.43,16.92
0,98.1,2338,10.68,17.87
0,93.88,1868,12.18,14.05
1,94.78,2368,10.64,12.44
0,94.67,2266,5.75,16.14
0,94.42,2166,9.5,17.17
0,93.92,2472,4.31,18.1
1,97.36,2010,6.34,15.37
0,90.82,1994,6.01,16.98
0,93.2,2283,3.95,19.25
0,96.31,2635,7.96,19.36
0,94.1,2358,10.86,18.93
0,97.07,2259,1.99,15.63
0,91.36,2270,3.17,13.61
1,93.53,2111,10.11,17.44
0,98,2675,16.05,20.08
1,91.23,2035,13.38,12.68
0,93.03,2099,14.17,4.54
0,90.82,2282,13.16,16.16
0,96.2,2175,11.84,12.09
0,93.99,2470,9.36,19.76
0,96.38,2414,16.25,12.99
1,97.37,2143,6.29,18.32
1,94.71,2399,7.94,18.89
0,93.37,2156,14.74,10.95
0,95.47,2513,7.23,17.7
1,94.36,2031,11.16,12.02
0,94.21,1904,12.33,7.46
0,93.09,2242,13.03,7.8
0,89.55,1975,5.9,14.2
0,96.28,2141,9.23,15.19
0,97.91,2845,11.88,9.38
0,92.19,2025,6.6,16.38
0,92.35,2302,7.85,15.11
1,96.85,2353,1.62,15.27
0,96.19,2319,10.5,12.17
0,96.13,2322,2.92,16.69
1,87.75,1970,8.43,6.95
0,92.52,2111,11.29,11.38
0,95.35,2037,3.91,11.77
0,95.3,2141,13.96,5.56
0,94.66,2581,3.29,20.87
0,93.23,2188,5.75,14.22
0,97.14,2341,14.15,11.13
0,93.01,2327,12.76,5.19
0,94.56,2415,12.18,16.74
1,93.06,2263,6.39,16.33
1,92.45,2447,14.96,14.76
1,91.98,2143,7.88,19.21
0,94.16,2345,3.89,15.54
0,94.64,2511,9.14,20.41
0,92.15,1989,6.71,18.7
0,93.42,2215,11.12,15.81
0,95.42,2458,13.59,12.24
0,91.32,2301,6.79,15.74
0,93.2,2187,17.32,13.57
0,90.43,2156,2.52,17.84
1,96.4,2521,3.66,19.05
0,96.01,2543,1.15,13.61
0,96.33,2599,4.4,19.6
0,93.36,2357,3.64,16.86
0,98.47,2488,0.83,17.38
0,96.1,2361,5.42,17.96
0,92.76,2350,7.7,17.94
1,95.67,2297,13.33,12.67
1,87.99,2135,0.97,15.41
1,93.51,2149,11.54,1.51
0,96.77,2493,5.21,17.05
0,96.49,2252,6.66,19.17
0,92.21,2267,19.28,6.75
0,98.91,2124,12.78,9.89
0,86.67,1948,2.46,15.42
0,94.92,2190,13,15.89
0,96.14,2410,11.11,18.36
0,90.87,1958,16.27,3.14
0,95.75,2127,7.95,14.72
0,95.88,2618,7,13.53
0,96.21,2205,2.47,17.68
0,86.82,1826,15.78,9.61
0,92.99,1849,7.53,16.84
0,98.47,2138,8.81,12.19
0,94.28,2046,2.16,16.98
0,94.2,2341,11.71,18.21
1,93.44,2060,3.73,15.39
0,94.3,2523,10.44,15.03
0,94.47,2347,7.92,17.07
0,93.67,2584,6.8,12.95
0,92.19,2252,11.03,18.61
0,97.85,2490,2.87,15.83
0,93.42,2442,11.41,18.3
0,97.66,2188,12.02,16.16
0,96.58,2487,5.23,17.25
1,89.06,1993,12.51,7.69
0,94.69,2300,11.66,16.11
0,93.69,2160,8.22,14.08
1,94.47,1989,2.97,14.09
0,95.55,2077,17.41,3.83
0,93.67,2152,4.97,18.99
1,93.43,2423,20.89,6.86
1,88.32,2259,-0.56,15.96
0,92.82,2236,9.35,12.33
1,96.1,2101,12.07,10.92
0,95.04,2391,5.32,23.21
0,93.7,2198,12.71,16.43
0,93.47,2643,3.71,20.97
0,97.2,2199,12.76,3.31
0,95.33,2135,18.22,6.86
0,92.72,2098,6.34,18.82
0,97.28,2315,3.61,18.13
0,92.67,2137,7.74,8.76
0,96.04,2313,4.85,19.16
0,88.98,2115,12.9,10.72
0,95.3,2263,6.1,21.27
0,91.95,2095,5.85,19.52
0,96.44,2463,4.36,17.56
0,94.35,2294,5.89,19.68
1,91.16,2119,8.95,17.83
1,97.3,2206,7.26,13.21
1,92.77,2077,15.27,10.32
0,94.28,2034,6.22,16.96
1,94.67,2350,13.48,12.2
0,97.26,2853,8.67,11.54
0,94.07,2162,11.06,13.08
0,94.51,2425,8.05,14.34
1,93.52,1947,5.78,9.81
0,96.44,1942,17.9,7.91
0,96.65,1997,15.08,12.43
0,95.19,2115,0.72,17.38
1,95.26,2465,4.43,15.97
1,93.2,2193,1.78,19.96
1,92.37,2024,1.02,16.2
0,98.38,2145,17.86,6.54
1,91.24,2289,-4.37,15.37
0,96.28,2461,3.19,18.92
0,97.15,2585,5.15,14.9
0,94.7,2027,14.17,4.05
0,95.49,2329,-0.1,18.15
0,91.19,2094,15.96,10.93
0,93.93,2052,10.79,12.29
1,86.99,2077,0.12,17.58
0,94.04,2204,12.7,14.47
1,90.69,1955,16.43,2.62
1,95.52,2192,6.4,11.12
0,98.52,2226,19.51,8.74
1,94.65,2444,10.8,17.78
1,94.77,2413,11.13,19.93
1,88.9,2185,9.09,14.24
0,94.36,2343,7.56,18.33
0,93.52,2228,4.78,15.35
1,96.68,2100,17.92,4.41
0,97.21,2268,1.07,13
0,90.15,2000,16.28,6.6
0,94.31,2135,5.86,16.61
0,96.14,2377,10.77,17.69
1,90.69,2000,15.16,4.08
1,93.88,2267,5.76,15.61
1,96.35,2266,9.09,17
0,96.33,2510,5.46,18.71
0,91.84,2367,6.81,16.42
1,94.8,2192,11.08,4.29
0,92.87,2144,13.47,11.68
0,97.99,2413,7.72,15.88
0,99.01,1967,11.29,7.1
0,96.28,2232,16.35,5.9
1,95.64,1961,7.39,16.11
1,96.86,1940,9.08,15.82
0,92.2,2447,0.86,14.71
0,95.06,2462,8.96,18.71
0,92.7,2176,9.51,17.98
0,92.57,1960,3.26,15.85
1,92.61,1940,14.99,4.79
0,93.63,2422,11.15,14.5
0,97.55,2566,7.85,16.33
0,98.23,2378,6.9,19.24
0,95.35,2746,1.29,10.66
1,91.39,2286,13.49,10.38
0,94.62,2282,9.5,16.63
0,96.51,2308,2.97,15.33
0,92.83,2335,8.77,14.3
0,94.55,1974,14.91,2.99
0,96.01,2053,10.01,13.96
0,94.05,2203,4.75,19.33
