Velo,SpinRate,HorzBreak,InducedVertBreak
94.12,1996,6.45,10.33
89.38,2162,8.89,12.15
95.16,2247,9.64,17.1
92.73,2112,12.97,4.68
90.19,2124,12.23,6.36
94.3,2470,8.19,17.72
94.53,2054,17.8,9.3
94.26,2145,6.28,13.85
96.19,2278,5.91,14.3
96.26,2152,13.38,11.82
97.11,2167,8.85,14.13
96.5,2546,3.06,18.3
94.45,2278,4.59,8.49
88.24,2185,3.07,21.57
90.6,2274,13.6,15.64
91.99,2412,9,20.8
95.37,2076,13.53,10.27
96.35,2233,8.29,19.09
92.98,2064,8.22,14.38
94.29,2260,11.04,16.15
96.65,2131,6.2,13.07
94.2,2428,9.35,17.29
91.93,2274,12.25,13.44
92.26,2170,3.14,15.02
87.5,NULL,12.13,9.98
98.67,2187,19.67,5.42
90.73,2287,5.73,15.32
95.97,2209,9.12,16.76
93.82,2171,3.87,13.61
94.5,2137,11.56,14.97
93.92,2149,6.33,17.92
91.62,2292,-1.53,13.78
94.79,2256,4.19,14.94
90.04,2140,6.21,13.17
93.15,2494,11.3,13.64
95.86,1995,14.76,5.95
94.62,2402,9.35,17.95
97.18,2714,8.99,9.06
93.71,2505,2.79,19.69
93.37,2195,2.65,20.35
92.72,1976,15.64,-0.96
93.99,2516,4.19,17.88
92.91,2302,11.55,17.55
91.68,2093,6.16,16.87
93.47,1884,17.38,2.74
94.43,2104,5.57,19.44
92.78,2124,14.84,10.04
96.41,2358,5.29,16.62
96.98,2345,15,17.21
95.29,2312,9.14,15.98
90.33,2184,13.99,9.22
94.68,2391,10.17,19.24
93.59,2062,14.72,4.94
95.74,2255,2.68,19.22
92.1,2114,1.83,17.39
94.73,2106,4.28,16.87
97.66,2463,8.53,14.4
93.21,1896,13.81,5.09
96.37,2172,7.56,17.85
94.81,2074,13.8,12.13
88.06,2128,11.04,10.09
94.28,2224,11.17,16.96
97.44,2427,12.29,4.26
93.88,3024,11.38,13.43
93.16,2354,8.02,19.23
94.18,2573,5.16,19.04
92.18,2099,5.01,17.84
95.2,2315,11.05,14.42
92.29,2279,5.54,10.35
97.34,2447,7.82,17.31
96.15,2335,16.9,10.99
95.71,1966,14.75,9.33
94.3,2162,16.84,4.23
94.36,2209,7.05,15.3
98.18,2365,4.7,20.34
95.48,2342,11.02,17.82
96.55,2552,10.01,15.86
94.88,2415,3.8,15.99
94.48,2182,17.58,8.8
92.43,2083,3.33,15.54
94.42,2257,6.86,15.19
90.92,2314,10.5,13.03
91.84,2489,12.45,13.48
90.4,1979,7.02,19.52
94.04,2292,13.71,14.71
95.17,2573,3.15,19.73
93.49,2245,6.7,15.42
93.4,2709,2.54,11.02
96.98,2156,15.67,3.45
91.7,1985,6.88,21.07
95.58,2512,9,20.47
92.64,2311,6.5,17.39
96.81,2246,9,16.31
93.77,1994,3.47,14.47
95.11,2264,11.82,14.02
93.31,2134,5.91,14.58
97.6,2250,14.17,14.02
89.98,2227,8.5,10.29
88.43,2170,15.2,12.37
99.44,2290,20.84,6.38
93.78,2204,11.44,12.98
92.52,2038,6.31,18.71
95.22,2372,4.24,18.43
92.55,2078,8.79,16.39
90.43,2212,9.54,4.86
92.44,2219,3.87,4.98
92.09,2283,3.96,17.89
95.34,2522,6.91,15.24
87.78,2285,9.94,18.68
99,2152,8.51,18.53
95.23,2530,8.02,12.03
92.87,2257,1.41,16.39
96.48,2266,13.85,12.62
98.05,2114,17.05,10.36
95.81,2299,13.23,14.33
90.35,2217,13.37,15.77
92.07,2507,7.09,4.23
93.31,2235,11.97,14.05
92.86,2107,8.93,15.16
95.03,2337,6.5,19.06
96.51,2168,14.63,15.04
94.86,2320,6.62,17.36
96.19,2355,0.95,19.84
94.02,2218,14.85,15.01
94.34,2054,2.23,6.77
94.41,2241,9.36,17.47
98.67,2459,15.59,12.4
98.06,2462,9.97,13.58
84.66,1840,2.44,10.99
95.38,2275,8.26,15.53
90.05,2060,16.25,7.45
91.31,2407,11.08,16.78
96.55,2678,14.19,6.25
92.63,2172,9.28,16.11
89.84,2008,12.99,15.56
92.99,2130,-0.83,16.24
92.51,2165,11.48,8.29
95.68,2544,9.06,18.7
94.35,1969,2.96,19.66
92.96,2485,4.09,18.73
93.4,2176,17.37,7.29
92.11,2100,6.88,14.18
98.44,2244,20.98,5.3
94.56,2305,5.94,18.29
89.67,1906,16.88,-1.44
95.15,2262,3.02,18.82
93.83,2061,9.46,10.7
95.36,2322,1.28,21.28
95.92,2597,8.96,18.48
91.56,2268,15.36,14.35
86.26,1856,12.26,8.51
93.5,2222,17,8.95
94.29,1960,7.3,14.9
94.64,3242,18.53,0.83
94.93,2212,13.75,15.44
95.75,2088,19.56,10.76
99.34,2020,14.48,6.05
95.58,2088,8.19,19.08
93.72,2414,16.65,14.26
97.87,2629,6.2,18.78
92.67,2281,0.21,22.1
96.8,2157,17.34,10.97
94.76,2111,15.19,12.37
93.17,2299,3.97,16.03
92.83,2043,7.57,14.75
94.64,2247,14.7,14.95
92.97,1903,8.28,11.92
98.95,2306,16.01,11.81
91.4,2262,12.37,19.1
93.96,1999,11.29,11.22
91.25,2297,8.02,17.22
90.41,2293,5.93,16.36
93.83,2560,6.35,17.88
93.42,2290,5.8,18.35
94.78,2213,8.23,18.46
95.42,2496,13.74,14.54
92.59,2175,15.75,13
95.39,2231,12.7,14.61
94.46,2308,13.43,17.31
96.37,2511,8.58,18.2
89.99,2053,12.05,5.03
91.33,2313,6.49,15.63
96.57,2549,9.88,17.62
93.5,2264,13.08,8.36
97.13,2234,12.56,16.34
92.57,2355,2.25,18.25
95.24,2203,11.43,15.21
95.66,1982,3.45,11.01
95.81,2328,3.32,14.95
94.05,2070,4.41,14.6
95.24,2345,11.29,14.97
88.52,1897,11.63,5.71
96.13,2225,9.06,16.72
95.99,2318,8.57,12.65
94.07,2302,11.7,13.1
96.77,2344,11.34,11.66
91.98,2100,2.9,13.32
97.23,2033,7.35,18.46
92.59,2068,15.68,4.28
93.18,2317,13.81,15.7
95.23,2211,18.39,5.99
96.01,2434,7.88,17.44
94.61,2026,11.91,15.69
89.67,2051,17.08,12.6
94.77,2509,11.16,15.5
92.13,2120,17.21,10.09
91.98,2177,5.02,19.38
91.62,2091,-0.82,17.83
94.46,2399,2.5,18.81
91.82,2263,8.88,19.23
93.64,2153,8.18,17.83
94.27,2258,5.29,16.28
93.25,2524,4.97,19.36
95.53,2099,12.29,15.01
95.01,2175,14.94,11.72
92.52,2183,5.19,19.86
97.1,2063,6.75,16.18
95.45,2237,9.16,19.94
91.49,2320,-1.89,18.38
94.23,2025,10.7,15.77
90.74,2171,15.11,12.22
93.21,1857,5.8,15.18
94.78,1845,13.12,-2.51
93.66,2228,13.55,12.24
95.07,2203,17.74,10.66
91.11,2068,11.48,12.26
93.46,2338,12.02,16.27
92.98,2039,15.47,8.17
93.4,2164,3.23,18.08
98.47,2120,17.99,5.64
97.76,2518,11.14,17.25
95.58,2659,7.56,19.85
97.04,2268,6.7,18.19
95.71,2433,16.76,11.04
93.77,2547,3.6,20.56
92.92,2410,4.99,19.43
94.9,2235,11.05,16.3
90.19,2095,8.94,16.19
91.59,2348,13.46,15.96
91.03,2196,13.24,7.74
93.4,2417,2.18,18.03
99.22,2463,12.88,17.29
95.92,2381,7.27,15.67
90.61,2080,15.1,9.24
93.58,1986,19.2,13.56
91.71,2079,14.89,11.94
94.17,2118,6.39,13.39
96.08,2059,14.93,10.09
96.07,2605,10.54,17.33
98.52,2509,6.16,19.92
95.11,2252,18.75,10.45
94.56,2546,-0.02,20.73
92.27,2109,10.2,18.7
97.11,2475,5.51,19.45
96.81,2388,16.78,8.22
95.63,2362,5.09,16.33
95.26,2070,13.04,15.24
95.57,2288,1.99,20.91
88.02,1742,14.57,10.75
97.57,2444,4.39,17.02
94.27,2363,4.56,19.21
97.25,2238,8.58,14.51
98.68,2424,3.3,19.32
87.42,1852,15.43,11.5
95.47,2588,10.44,17.7
94.84,2400,6.21,15.41
100.77,1822,13.36,4.85
93.69,2411,10.39,16.43
92.93,2083,18.29,14.22
94.79,2405,8.99,18.35
95.35,1981,4.83,16.07
92.29,2264,3.64,20.32
93.63,2166,8,17.48
92.5,2090,10.29,18.28
90.59,2008,14.91,9.02
94.46,2283,10.57,15.88
94.08,2394,6.49,17.37
99.03,2530,5.33,18.27
94.11,2643,12.24,17.73
94.78,2223,2.02,18.65
93.51,2161,14.39,9.89
93.88,2523,5.21,17.21
94.24,2225,7.09,15.95
97.37,2201,11.09,13.5
94.15,2019,15.74,3.22
95.24,2131,9.31,16.63
94.43,1960,15.16,11.23
94.57,2093,14.23,14.47
95.85,2689,3.36,16.83
95.57,2210,11.56,17.14
95.2,1964,4.32,14.98
96.32,2363,2.93,10.31
95.15,2229,17.3,10.06
93.36,2163,7.93,17.94
93.26,2041,16.24,6.35
92.79,2430,11.91,12.12
90.16,2071,16.76,12.04
90.74,2350,13.08,17.56
92.08,2321,6.31,15.59
92.17,2233,16.35,12.54
92.46,2148,14.33,15.66
87.45,1895,11.61,6.4
91.65,2465,13.71,13.99
92.25,1652,8.34,12.01
91.39,1993,2.14,17.17
91.13,1852,11.51,7.63
92.31,2342,14.26,5.9
90.02,2001,19.15,-4.54
95.27,2120,19.46,3.7
90.58,2606,-1.44,20.42
93.9,2201,15.19,13.56
93.03,2170,8.13,15.78
93.49,2337,11.62,14.35
98.06,2307,8.42,18.59
94.69,2249,11.07,7.68
95.43,2328,17.03,7.01
98.42,2505,4.56,16.85
95.27,2234,12.97,7.66
96.62,2277,14.01,11.13
90.44,2275,14.91,5.89
95.24,2581,7.63,18.19
92.24,2292,15.39,17.32
90.93,2288,6.73,10.53
96.83,1868,8.7,14.91
93.87,2112,17.42,11.09
86.06,1971,-2.96,11.75
95.82,2186,17.8,6.21
93.78,2361,14.23,13.06
92.76,2351,5.1,19.36
93.76,2420,17.41,6.95
93.61,2073,4.12,17.82
94.97,1988,12.03,16.51
90.69,2474,6.77,20.56
88.66,1791,14.91,7.91
93.61,2030,8.95,14.57
87.21,1881,14.36,12.58
97.04,2537,7.45,12.89
90.48,2138,13.01,12.87
90.53,2148,3.96,16.32
89.36,2257,1.24,21.89
95.86,2381,7.75,17.7
98.28,2555,7.5,18.96
96.86,2153,5.7,13.64
92.61,2036,13.59,13.08
94.77,2514,10.79,11.61
92.87,2528,-2,12.84
97.89,1973,18.27,7.77
96.09,2240,15.65,14.05
96.55,2211,2.67,17.54
96,2412,11.16,17.71
93.01,2341,9.89,19.17
92.44,2219,6.1,14.32
97.75,2221,11.76,18.38
97.78,2100,16.13,10.22
87.87,1909,14.48,5.51
91.71,2172,7.9,18.4
87.74,2170,10.3,13.86
97.15,2168,5.25,15.46
90.52,2370,6,17.98
94.04,2315,3.12,20.28
95.89,2054,7.26,6.09
93.53,2341,15.48,12.21
97.17,2146,3.92,14.57
95.51,2177,8.57,16.14
95.76,2544,10.12,12.67
91.88,2069,10.47,16.44
96.72,2249,11.65,16.04
96.21,2432,14.25,19.16
90.98,1975,11.74,13.99
93.89,2514,0.19,20
96.27,2287,14.4,14.09
95.32,2246,9.96,17.25
93.26,2166,10.92,14.99
90.87,2216,6.97,2
92.31,2215,10.1,15.16
63.18,1509,-3.01,17.7
94.03,2516,5.67,21.32
95.48,2027,16.89,6.53
89.97,1888,14,7.31
95.75,2137,7.92,14.87
92.13,2113,14.14,9.37
93.7,2437,9.4,15.8
90.66,2190,16.08,4.27
92.67,2295,5.24,21.2
94.76,2215,17.34,13.73
91.67,2094,10.71,13.88
95.43,1920,16.92,7.19
89.92,1826,15.23,8.93
99.48,2430,-3.84,16.13
95.79,2462,2.84,20.56
95.67,2217,7.97,13.34
96.68,2297,10.15,16.72
98.34,2015,14.47,4.79
93.94,2299,11.37,11.46
94.94,2219,16.87,11.41
93.16,2084,15.69,1.06
96.99,2156,14.5,11.39
92.52,2123,10.85,16.72
93.93,2421,17.83,10.74
94.97,2365,11.71,18.19
94.84,2394,8.97,11.32
97.69,1870,18.3,3.52
96.09,2319,8.16,18.78
92.02,2406,6.01,21.21
96.23,2103,14.85,9.91
96.69,2035,6.85,15.07
96.05,2343,15.62,9.54
93.52,1799,5.32,7.64
92.02,2053,5.51,15.25
92.36,2354,7.34,18.52
94.34,2395,4.76,16.62
84.58,2056,14.11,-9.28
91.48,2351,16.8,4.86
92.35,2340,9.1,20.24
98.42,2363,4.49,18.84
90.83,2192,5.02,17.78
90.34,1944,7.01,14.48
93.44,2056,3.6,15.37
91.14,2459,-0.23,19.35
92.31,1970,5.88,15.23
100.19,1997,14.43,7.24
89.95,2107,18.74,0.61
94.23,2131,6.86,17.92
92.94,2192,0.57,19.57
90.56,2053,18.08,9.63
93.68,2159,4.93,16.71
97.4,2452,2.53,17.39
88.84,2001,16.01,9.85
91.12,2285,11.73,15.49
96.35,2175,13.17,12.25
91.6,2241,6.43,13.83
96.97,2710,13.55,9.3
92.55,2067,5.37,14.89
94.18,2209,8.01,19.76
94.56,2220,11.34,9.46
92.68,2132,14.14,11.39
95.78,1940,8.93,16.01
97.51,2506,8.7,14.54
93.84,2159,10.95,20.46
94.93,2517,13.78,15.42
93.68,2132,14.08,13.84
98.09,2023,11.68,7.3
94.46,2108,8.95,13.8
93.3,2391,5.57,19.61
95.48,2140,15.65,11.8
92.91,2024,19.44,11.62
89.11,1856,15.97,7.44
96.35,2449,13.75,17.43
91.12,2193,6.07,5.89
92.17,2359,1.99,13.96
94.25,2073,8.35,14.16
94.58,2250,11.53,16.11
94.23,2242,14,12.83
96.67,2025,10.6,15.34
91.04,2124,13.9,12.33
98.04,2203,15.95,7.09
94.39,2215,12.19,16.97
98.94,2809,5.51,12.11
93.2,2387,2.37,18.57
87.48,1865,14.29,9.72
94.24,2448,12.61,16.94
94.74,2322,5.53,19.89
94.32,2592,4.85,14.92
93.12,2395,7.89,17.35
93.01,2051,11.03,11.77
95.01,1975,15.22,11.44
90.92,2037,15.14,10.04
94.57,2396,4.83,21.05
93.37,2218,5.91,14.91
96.03,2424,2.57,16.72
92.97,2309,7.67,16.6
94.94,2236,10.78,16.04
94.99,2399,9.56,19.4
94.97,2297,14.25,17.08
94.75,2473,4.21,19.47
96.39,2284,5.9,19.22
92.63,2135,13.2,13.41
94.55,2316,3.08,15.21
95.22,2335,8.39,14.73
93.14,2180,3.25,14.77
95.45,2350,13.64,11.39
100.37,2451,8.69,16.59
91.68,2074,6.85,15.61
93.51,2484,1.89,19.32
93.58,2484,4.63,19.12
95.06,2090,12.51,11.05
87.69,2100,8.15,14.52
90.51,2249,15.02,14.45
93.11,2064,18.13,8.85
92.8,2191,9.37,16.65
93.19,2026,14.53,14.45
94.1,2536,5.1,15.57
94.66,2521,14.87,17.49
97.85,2650,3.38,19.49
93.92,2410,13.95,16.28
92.87,2447,5.97,18.1
94.8,2338,7.86,15.8
93.55,2350,11.37,16.24
95.24,2183,0.56,18.01
94.32,2220,16.76,14.4
94.28,2299,5.27,12
93.78,2388,9.07,14.45
94.54,2238,5.73,17.18
94.4,2359,1.23,17.35
96.57,2104,9.16,11.11
94.43,2613,7.6,19.35
89.69,1847,3.06,13.38
97.05,2257,2.49,18.11
95.73,2544,7.95,17.45
92.06,2294,11.36,17.41
91.04,2247,0.9,8.11
89.39,2130,19.57,6.94
92.56,2185,5.35,14.02
93.93,2179,12.2,12.99
96.77,2152,22.33,11.27
92.19,2537,4.81,17.79
94.33,2225,3.93,19.64
97.55,2473,4.93,19.32
90.54,2313,12.55,9.38
97.78,2146,7.87,16.79
93.89,2353,3.29,21.13
93.6,2398,8.76,18.09
95.99,2041,4.8,13.5
94.19,2194,0.21,20.81
93.4,2309,5.85,18.86
95.8,2117,17.24,5.01
95.5,2104,19.28,10.55
94.67,2111,11.5,11.35
94.11,2589,17.14,18.72
96.46,2541,5.94,20.19
95.32,2425,5.42,12.14
90.83,2043,8.53,18.77
96.4,2195,4.73,9.69
91.14,2077,11.11,8.21
96.75,2386,13.29,18.73
94.55,2324,14.92,18.42
92.35,1778,12.84,-2
94.91,2228,10.88,15.22
90.53,1952,13.51,3.57
95.4,2561,12.07,17.17
92.8,2054,7.8,16.82
94.38,2247,7.92,13.02
94.03,2225,7.62,16.78
93.18,2436,10.45,13.04
92.57,2114,17.7,7.07
94.99,2411,3.79,18.25
95.73,2264,3.58,19.92
93.49,2308,3.63,18.32
93.27,2230,5.73,16.06
94.33,2420,12.77,17.21
94.51,1981,11.06,18.43
91.93,1835,15.6,3.54
93.35,2147,9.54,14.98
92.9,2421,9.67,19.18
91.14,1953,10.74,16.8
96.64,2425,8.85,15.22
94.54,2127,3.85,13.79
94.75,2194,15.08,1.96
89.41,2103,15.6,5.32
97.85,2424,10.15,16.89
92.35,2153,4.51,20.94
94.18,2408,2.4,19.48
92.61,2280,5.21,19.6
93.1,2543,7.52,18.62
94.05,2247,9.06,17.08
92.69,2681,4.09,17.84
92.71,2129,11.37,17.33
92.31,2035,9.62,17.98
93.58,2098,17.65,8.15
97.68,2545,11.21,3.16
94.58,1918,16.61,6.12
95.8,2677,4.15,20.07
88.68,2196,7.94,9.38
96.53,2100,11.09,15.67
92.88,2586,2.2,21.54
88.34,2145,12.96,15.2
88.17,2092,11.34,15.4
91.49,2057,3.36,17.66
96.29,2065,3.28,17.4
93.23,2418,5.29,15.84
92.71,2682,5.23,18.76
93.07,2166,10.6,7.32
95.15,2519,16.47,12.61
94.2,2052,6.27,12.13
95.98,2285,2.25,12.22
93.73,2130,3.68,15.83
99.71,2159,22.03,4.38
92.92,2449,2.62,17.76
95.32,2805,4.38,8.77
92.26,2286,1.92,13.22
96.39,2311,12.97,11.84
95.61,2309,3.78,15.24
93.15,1977,14.45,10.71
94.32,2209,4.53,18.4
93.05,2117,14.22,11.37
94.12,1872,16.93,13.89
97.74,2316,2.75,19.52
94.43,2384,9.27,17.25
94.28,2672,11.75,12.72
93.19,2341,6.86,17.54
97.15,2319,19.17,5.76
92.26,1997,7.63,7.15
93.74,2194,1.17,14.59
92.7,2290,13.41,13.87
94.98,1844,17.89,7.39
97.29,2311,15.24,14.2
94.46,2015,17.89,7.67
96.38,2283,15.52,13.44
92.46,2219,5.31,11.77
96.42,1817,10.94,8.83
94.22,2323,-1.68,16.5
94.15,2287,8.98,17.64
90.21,2974,17.33,8.28
97.19,2514,4.78,20.32
93.53,2049,16.7,12.18
95.74,2011,3.45,16.47
93.01,2138,2.48,19.24
92.89,2222,4.23,16.8
96.45,2248,18.72,4.09
91.92,2123,6.2,3.72
93.44,2408,10.68,18.08
95.02,2107,15.54,6.59
94.6,2325,11.59,14.98
95.18,2122,13.28,14.51
95.24,2465,12.72,18.07
96.69,2485,5.64,18.94
99.27,2468,14.66,13.22
91.35,2154,6.19,16.81
94.64,2184,16.71,12.4
93.31,2185,5.38,13.93
95.49,2060,2.54,17.66
93.34,2243,15.79,16.34
95.65,2462,9.04,17.85
94.27,2613,-4.57,10.24
91.61,2440,1.05,15.26
92.04,2089,16.95,12.57
94.64,2570,4.61,19.6
96.8,2344,14.78,13.28
92.83,2324,15.22,13.58
94.44,2191,10.02,13.89
93.27,2280,9.9,18.4
95.72,2029,12.77,13.65
96.17,2070,5.82,3.06
93.14,2170,6.18,16.37
90.82,2231,4.58,17.55
97.58,2323,2.96,17.19
95.52,1902,11.07,14.87
89.91,2120,14.4,11.88
92.73,2266,6.73,14.35
93.85,2106,4.8,17.32
89.91,2288,1.97,13.43
95.11,2119,6.03,17.5
91.31,2294,10.97,2.94
92.97,2239,13.21,14.07
92.49,2110,7.43,14.59
95.07,2436,6.11,16.94
96.38,2656,9.47,19.52
91.57,2136,16.13,12.03
92.78,2517,5.33,13.89
96.33,2357,7.78,7.78
92.13,1877,7.95,12.41
96.76,2353,6.2,15.96
92.56,2207,4.91,15.7
92.82,2551,2.02,14.8
92.76,2230,19.02,5.98
96.6,2414,13.13,13.34
95.47,1956,16.92,3.42
100.62,2056,13.41,7.4
96.58,1895,15.44,2.06
95.25,2358,6.5,15.71
93.4,2237,6.33,18.46
95.46,2169,8.98,15.99
96.92,2286,7.92,18.82
97.71,2268,16.73,8.06
94.84,2544,4.38,20.92
96.88,2619,5.56,15.57
89.54,1891,13.15,12.15
94.55,2393,15.08,8.54
97.91,2346,7.17,17.7
93.92,2263,9.86,14.36
95.33,2005,13.99,8.16
94.51,1953,12.59,16.15
92.8,2194,8.76,12
96.43,2259,16.13,12.68
95.8,1975,5.9,14.75
92.57,2467,0.86,13.49
95.51,2009,6.6,9.12
97.27,2266,15.67,-0.64
94.12,2096,16.12,11.11
94.67,2043,-1.29,20.48
93.56,2451,10.76,13.43
98.63,2060,13.16,7.12
96.07,1801,11.85,14.11
95.92,1621,10,8.74
97.64,2340,4.13,14.5
92.04,2095,6.88,17.57
97.12,1877,16.72,3
97.45,2291,8.7,20.1
94.6,1995,16.87,10.76
99.3,2372,6.23,19.92
98.69,2219,9.45,15.71
89.15,2241,13.39,15.86
89.43,2245,7.7,18.25
96.27,2423,13.98,15.94
92.52,2435,10.1,16.68
93.17,2340,3.77,17.06
92.65,2208,5.22,14.29
99.19,2040,14.5,12.23
98.71,2316,7.4,14.88
96.16,2408,10.87,10.16
96.29,2222,7.55,17.05
91.61,2531,1.29,20.32
91.66,2270,16.91,13.11
84.59,2170,19.12,3.16
95.88,2275,13.95,16.56
96.44,2459,4.8,17.77
91.25,2212,11.66,17.72
94.11,2278,11.11,14.17
91.86,1733,8.17,11.93
94.25,2316,1.33,11.28
95.72,2450,12.82,13.23
91.98,1902,5.92,18.78
93.66,2377,16.13,12.23
97.07,2426,5.61,17
94.67,2220,12.32,10.02
93.67,2414,8.22,18.73
92.23,2130,3.73,20.82
93.57,2493,13.22,19.47
94.29,2166,11.51,15.75
91.76,2240,18.04,5.99
93.68,2249,12.89,15.05
98.03,2277,15.85,11.1
94.02,2393,11.96,18.84
94.3,2117,9.13,18.45
100.55,2346,6.61,13.4
98.09,2483,7.16,16
95.38,2251,2.5,18.02
94.85,2404,7.58,14.44
95.74,2503,12.64,8.89
92.29,2468,5.52,16.82
95.9,2453,5.36,20.59
91.94,2297,15.41,12.39
99.13,2584,8.18,17.01
95.61,2252,13.68,3.68
92.15,2063,0.26,18.32
93.51,2785,2.88,14.36
93.27,2442,10.33,19.79
95.97,2050,6.11,19.25
90.61,2235,12.73,15.07
93.64,2211,3.26,12.89
93.44,2100,17.5,7.1
93.51,2242,6.07,17.49
96.26,2151,12.52,8.85
89.45,2013,11.97,10.72
94.3,2395,10.7,18.07
